Port,TCP,UDP,SCTP,DCCP,
593,Yes,Yes,,,
601,Yes,,,,
604,Yes,,,,
623,,Yes,,,
625,Unofficial,No,,,
631,Yes,Yes,,,
631,Unofficial,Unofficial,,,
635,Yes,Yes,,,
636,Yes,Assigned,,,
639,Yes,Yes,,,
641,Yes,Yes,,,
643,Yes,Yes,,,
646,Yes,Yes,,,
647,Yes,,,,
648,Yes,,,,
651,Yes,Yes,,,
653,Yes,Yes,,,
654,Yes,,,,
655,Yes,Yes,,,
657,Yes,Yes,,,
660,Yes,Assigned,,,
666,Yes,Yes,,,
666,Unofficial,,,,
674,Yes,,,,
684,Yes,Yes,,,
688,Yes,Yes,,,
690,Yes,Yes,,,
691,Yes,,,,
694,Yes,Yes,,,
695,Yes,Assigned,,,
698,,Yes,,,
700,Yes,,,,
701,Yes,,,,
702,Yes,,,,
706,Yes,,,,
711,Yes,,,,
712,Yes,,,,
749,Yes,Yes,,,
750,,Yes,,,
751,Unofficial,Unofficial,,,
752,,Unofficial,,,
753,Yes,Yes,,,
753,,Unofficial,,,
754,Yes,Yes,,,
754,Unofficial,,,,
760,Unofficial,Unofficial,,,
782,Unofficial,,,,
783,Unofficial,,,,
800,Yes,Yes,,,
802,Yes,Yes,,,
808,Unofficial,,,,
829,Yes,Assigned,,,
830,Yes,Yes,,,
831,Yes,Yes,,,
832,Yes,Yes,,,
833,Yes,Yes,,,
843,Unofficial,,,,
847,Yes,,,,
848,Yes,Yes,,,
853,Yes,,,,
853,,Yes,,,
860,Yes,,,,
861,Yes,Yes,,,
862,Yes,Yes,,,
873,Yes,,,,
888,Unofficial,,,,
888,Unofficial,,,,
897,Unofficial,Unofficial,,,
898,Unofficial,Unofficial,,,
902,Unofficial,Unofficial,,,
903,Unofficial,,,,
953,Yes,Reserved,,,
981,Unofficial,,,,
987,,Unofficial,,,
987,Unofficial,,,,
988,Unofficial,,,,
989,Yes,Yes,,,
990,Yes,Yes,,,
991,Yes,Yes,,,
992,Yes,Yes,,,
993,Yes,Assigned,,,
994,Reserved,Reserved,,,
995,Yes,Yes,,,
1010,Unofficial,,,,
1011-1020,Reserved,Reserved,,,
1023,Reserved,Reserved,,,
1023,Unofficial,Unofficial,,,
Port,TCP,UDP,SCTP,DCCP,
1024,Reserved,Reserved,,,
1025,Assigned,Assigned,,,
1027,Reserved,,,,
1027,,Yes,,,
1028,Reserved,Reserved,Reserved,Reserved,
1029,Unofficial,Unofficial,,,
1058,Yes,Yes,,,
1059,Yes,Yes,,,
1080,Yes,Yes,,,
1085,Yes,Yes,,,
1098,Yes,Yes,,,
1099,Yes,Assigned,,,
1100,,Unofficial,,,
1109,Reserved,Reserved,,,
1112,Unofficial,,,,
1113,Assigned,Yes,,,
1119,Yes,Yes,,,
1167,Yes,Yes,Yes,,
1194,Yes,Yes,,,
1198,Yes,Yes,,,
1212,Unofficial,Unofficial,,,
1214,Yes,Yes,,,
1220,Yes,Assigned,,,
1234,Yes,Yes,,,
1234,,Unofficial,,,
1241,Unofficial,Unofficial,,,
1270,Yes,Yes,,,
1293,Yes,Yes,,,
1311,Yes,Yes,,,
1311,Unofficial,,,,
1314,Unofficial,Unofficial,,,
1319,Yes,Yes,,,
1337,Yes,Yes,,,
